dataset,condition,graph_id,method,mode,metric,value,edges,src
lin_perfect_d10_e1,lin_perfect_d10_e1,g09,DCDI-vanilla,skeleton,SHD,22.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g09/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g09,DCDI-jStable,directed,SHD,6.0,14.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g09/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g09,DCDI-jStable,directed,F1,0.5,14.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g09/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g09,DCDI-jStable,skeleton,SHD,6.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g09/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g07,DCDI-vanilla,directed,SHD,22.0,50.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g07/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g07,DCDI-vanilla,directed,F1,0.3333333333333333,50.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g07/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g07,DCDI-vanilla,skeleton,SHD,22.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g07/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g07,DCDI-jStable,directed,SHD,6.0,11.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g07/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g07,DCDI-jStable,directed,F1,0.4761904761904761,11.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g07/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g07,DCDI-jStable,skeleton,SHD,6.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g07/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g06,DCDI-vanilla,directed,SHD,23.0,56.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g06/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g06,DCDI-vanilla,directed,F1,0.303030303030303,56.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g06/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g06,DCDI-vanilla,skeleton,SHD,23.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g06/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g06,DCDI-jStable,directed,SHD,8.0,13.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g06/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g06,DCDI-jStable,directed,F1,0.4347826086956522,13.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g06/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g06,DCDI-jStable,skeleton,SHD,8.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g06/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g01,DCDI-vanilla,directed,SHD,25.0,60.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g01/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g01,DCDI-vanilla,directed,F1,0.2571428571428572,60.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g01/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g01,DCDI-vanilla,skeleton,SHD,25.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g01/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g01,DCDI-jStable,directed,SHD,5.0,14.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g01/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g01,DCDI-jStable,directed,F1,0.5,14.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g01/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g01,DCDI-jStable,skeleton,SHD,4.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g01/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g08,DCDI-vanilla,directed,SHD,30.0,71.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g08/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g08,DCDI-vanilla,directed,F1,0.2469135802469136,71.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g08/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g08,DCDI-vanilla,skeleton,SHD,30.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g08/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g08,DCDI-jStable,directed,SHD,4.0,15.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g08/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g08,DCDI-jStable,directed,F1,0.56,15.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g08/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g08,DCDI-jStable,skeleton,SHD,4.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g08/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g04,DCDI-vanilla,directed,SHD,15.0,47.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g04/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g04,DCDI-vanilla,directed,F1,0.3508771929824561,47.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g04/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g04,DCDI-vanilla,skeleton,SHD,15.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g04/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g04,DCDI-jStable,directed,SHD,6.0,18.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g04/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g04,DCDI-jStable,directed,F1,0.5,18.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g04/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g04,DCDI-jStable,skeleton,SHD,6.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g04/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g03,DCDI-vanilla,directed,SHD,27.0,59.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g03/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g03,DCDI-vanilla,directed,F1,0.2898550724637681,59.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g03/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g03,DCDI-vanilla,skeleton,SHD,27.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g03/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g03,DCDI-jStable,directed,SHD,7.0,14.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g03/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g03,DCDI-jStable,directed,F1,0.4166666666666666,14.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g03/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g03,DCDI-jStable,skeleton,SHD,7.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g03/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g02,DCDI-vanilla,directed,SHD,19.0,45.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g02/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g02,DCDI-vanilla,directed,F1,0.3636363636363636,45.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g02/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g02,DCDI-vanilla,skeleton,SHD,19.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g02/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g02,DCDI-jStable,directed,SHD,3.0,12.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g02/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g02,DCDI-jStable,directed,F1,0.6363636363636365,12.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g02/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g02,DCDI-jStable,skeleton,SHD,3.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g02/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g05,DCDI-vanilla,directed,SHD,18.0,47.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g05/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g05,DCDI-vanilla,directed,F1,0.3508771929824561,47.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g05/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g05,DCDI-vanilla,skeleton,SHD,18.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g05/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g05,DCDI-jStable,directed,SHD,7.0,16.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g05/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g05,DCDI-jStable,directed,F1,0.4615384615384615,16.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g05/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g05,DCDI-jStable,skeleton,SHD,7.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g05/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g10,DCDI-vanilla,directed,SHD,28.0,70.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g10/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g10,DCDI-vanilla,directed,F1,0.25,70.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g10/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g10,DCDI-vanilla,skeleton,SHD,28.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g10/vanilla_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g10,DCDI-jStable,directed,SHD,7.0,18.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g10/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g10,DCDI-jStable,directed,F1,0.5,18.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g10/jstable_val/summary.json
lin_perfect_d10_e1,lin_perfect_d10_e1,g10,DCDI-jStable,skeleton,SHD,7.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d10_e1/g10/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g09,DCDI-vanilla,directed,SHD,106.0,315.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g09/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g09,DCDI-vanilla,directed,F1,0.3594936708860759,315.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g09/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g09,DCDI-vanilla,skeleton,SHD,101.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g09/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g09,DCDI-jStable,directed,SHD,73.0,113.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g09/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g09,DCDI-jStable,directed,F1,0.3523316062176166,113.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g09/jstable_val/summary.json
